 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.998295307    
   2.87500000      0.996459484    
   3.12500000      0.993312359    
   3.37500000      0.974560738    
   3.62500000      0.946629941    
   3.87500000      0.916601121    
   4.12500000      0.889194846    
   4.37500000      0.862444282    
   4.62500000      0.835562527    
   4.87500000      0.809861004    
   5.12500000      0.785601914    
   5.37500000      0.758195639    
   5.62500000      0.729346991    
   5.87500000      0.708890617    
   6.12500000      0.685942829    
   6.37500000      0.663257301    
   6.62500000      0.624442697    
   6.87500000      0.230133757    
   7.12500000       0.00000000    
   7.37500000       0.00000000    
   7.62500000       0.00000000    
   7.87500000       0.00000000    
   8.12500000       0.00000000    
   8.37500000       0.00000000    
   8.62500000       0.00000000    
   8.87500000       0.00000000    
   9.12500000       0.00000000    
   9.37500000       0.00000000    
   9.62500000       0.00000000    
   9.87500000       0.00000000    
   10.1250000       0.00000000    
   10.3750000       0.00000000    
   10.6250000       0.00000000    
   10.8750000       0.00000000    
   11.1250000       0.00000000    
   11.3750000       0.00000000    
   11.6250000       0.00000000    
   11.8750000       0.00000000    
   12.1250000       0.00000000    
   12.3750000       0.00000000    
   12.6250000       0.00000000    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
