 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.999305069    
   2.87500000      0.994556427    
   3.12500000      0.987375498    
   3.37500000      0.969886482    
   3.62500000      0.955872118    
   3.87500000      0.942784369    
   4.12500000      0.929349065    
   4.37500000      0.916145444    
   4.62500000      0.899467230    
   4.87500000      0.887769282    
   5.12500000      0.876650453    
   5.37500000      0.863099396    
   5.62500000      0.848737538    
   5.87500000      0.832290947    
   6.12500000      0.814917743    
   6.37500000      0.795459807    
   6.62500000      0.770558238    
   6.87500000      0.753648341    
   7.12500000      0.736622632    
   7.37500000      0.313875377    
   7.62500000       0.00000000    
   7.87500000       0.00000000    
   8.12500000       0.00000000    
   8.37500000       0.00000000    
   8.62500000       0.00000000    
   8.87500000       0.00000000    
   9.12500000       0.00000000    
   9.37500000       0.00000000    
   9.62500000       0.00000000    
   9.87500000       0.00000000    
   10.1250000       0.00000000    
   10.3750000       0.00000000    
   10.6250000       0.00000000    
   10.8750000       0.00000000    
   11.1250000       0.00000000    
   11.3750000       0.00000000    
   11.6250000       0.00000000    
   11.8750000       0.00000000    
   12.1250000       0.00000000    
   12.3750000       0.00000000    
   12.6250000       0.00000000    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
