 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.999896467    
   2.87500000      0.999585986    
   3.12500000      0.998964906    
   3.37500000      0.996170163    
   3.62500000      0.989752591    
   3.87500000      0.985198200    
   4.12500000      0.978780687    
   4.37500000      0.971224487    
   4.62500000      0.967187643    
   4.87500000      0.960873604    
   5.12500000      0.956008673    
   5.37500000      0.951350808    
   5.62500000      0.947313964    
   5.87500000      0.942656040    
   6.12500000      0.936756015    
   6.37500000      0.931994617    
   6.62500000      0.927854240    
   6.87500000      0.923920929    
   7.12500000      0.919470012    
   7.37500000      0.916571796    
   7.62500000      0.911810398    
   7.87500000      0.906634927    
   8.12500000      0.900527894    
   8.37500000      0.895041943    
   8.62500000      0.889866471    
   8.87500000      0.883759439    
   9.12500000      0.878998041    
   9.37500000      0.872476995    
   9.62500000      0.867612064    
   9.87500000      0.862436593    
   10.1250000      0.855915546    
   10.3750000      0.849394500    
   10.6250000      0.843494475    
   10.8750000      0.839561105    
   11.1250000      0.833557606    
   11.3750000      0.827140033    
   11.6250000      0.579132617    
   11.8750000      0.573750138    
   12.1250000      0.568781674    
   12.3750000      0.564123809    
   12.6250000      0.560190439    
   12.8750000      0.555429041    
   13.1250000      0.552944839    
   13.3750000      0.550253570    
   13.6250000      0.546837807    
   13.8750000      0.542904437    
   14.1250000      0.539592147    
   14.3750000      0.535658836    
   14.6250000      0.528309703    
   14.8750000      0.130731806    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
