 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000       1.00000000    
   2.87500000      0.999896467    
   3.12500000      0.998550117    
   3.37500000      0.994304061    
   3.62500000      0.989125907    
   3.87500000      0.983844221    
   4.12500000      0.977112651    
   4.37500000      0.970898926    
   4.62500000      0.965202987    
   4.87500000      0.960542679    
   5.12500000      0.953811109    
   5.37500000      0.948011577    
   5.62500000      0.943040609    
   5.87500000      0.938794553    
   6.12500000      0.931752264    
   6.37500000      0.926781297    
   6.62500000      0.922742307    
   6.87500000      0.919221222    
   7.12500000      0.914975166    
   7.37500000      0.910314858    
   7.62500000      0.906275868    
   7.87500000      0.898819387    
   8.12500000      0.892605662    
   8.37500000      0.887323916    
   8.62500000      0.880592406    
   8.87500000      0.875621378    
   9.12500000      0.868372023    
   9.37500000      0.859879851    
   9.62500000      0.854287505    
   9.87500000      0.850248575    
   10.1250000      0.844449043    
   10.3750000      0.840720773    
   10.6250000      0.833367825    
   10.8750000      0.828396857    
   11.1250000      0.822183073    
   11.3750000      0.815865755    
   11.6250000      0.572286665    
   11.8750000      0.567004979    
   12.1250000      0.562448204    
   12.3750000      0.559237778    
   12.6250000      0.554991722    
   12.8750000      0.552920461    
   13.1250000      0.547638774    
   13.3750000      0.544117630    
   13.6250000      0.539250195    
   13.8750000      0.536350429    
   14.1250000      0.533140004    
   14.3750000      0.528997540    
   14.6250000      0.521437466    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
