 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.999896526    
   2.87500000      0.999689639    
   3.12500000      0.998241425    
   3.37500000      0.995138109    
   3.62500000      0.990483105    
   3.87500000      0.985517740    
   4.12500000      0.976104259    
   4.37500000      0.970001042    
   4.62500000      0.963173687    
   4.87500000      0.957794547    
   5.12500000      0.951691329    
   5.37500000      0.945898414    
   5.62500000      0.941864073    
   5.87500000      0.939071059    
   6.12500000      0.932657480    
   6.37500000      0.927381814    
   6.62500000      0.922830224    
   6.87500000      0.917864919    
   7.12500000      0.912899554    
   7.37500000      0.908037663    
   7.62500000      0.904727399    
   7.87500000      0.898831069    
   8.12500000      0.893348515    
   8.37500000      0.889107287    
   8.62500000      0.880417943    
   8.87500000      0.874831915    
   9.12500000      0.868004560    
   9.37500000      0.862418532    
   9.62500000      0.855798066    
   9.87500000      0.851039648    
   10.1250000      0.846281171    
   10.3750000      0.842764020    
   10.6250000      0.837178051    
   10.8750000      0.832005799    
   11.1250000      0.826626658    
   11.3750000      0.818247676    
   11.6250000      0.580117941    
   11.8750000      0.572980225    
   12.1250000      0.568014920    
   12.3750000      0.564290881    
   12.6250000      0.559325516    
   12.8750000      0.557463527    
   13.1250000      0.552187860    
   13.3750000      0.548463821    
   13.6250000      0.545670867    
   13.8750000      0.542464077    
   14.1250000      0.538740039    
   14.3750000      0.534188449    
   14.6250000      0.526430130    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
