 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
  -6.25000000E-02   1.00000000    
   6.25000000E-02   1.00000000    
  0.187500000       1.00000000    
  0.312500000       1.00000000    
  0.437500000       1.00000000    
  0.562500000       1.00000000    
  0.687500000       1.00000000    
  0.812500000       1.00000000    
  0.937500000       1.00000000    
   1.06250000       1.00000000    
   1.18750000       1.00000000    
   1.31250000       1.00000000    
   1.43750000       1.00000000    
   1.56250000       1.00000000    
   1.68750000       1.00000000    
   1.81250000       1.00000000    
   1.93750000       1.00000000    
   2.06250000       1.00000000    
   2.18750000       1.00000000    
   2.31250000       1.00000000    
   2.43750000       1.00000000    
   2.56250000       1.00000000    
   2.68750000       1.00000000    
   2.81250000       1.00000000    
   2.93750000       1.00000000    
   3.06250000       1.00000000    
   3.18750000      0.999572098    
   3.31250000      0.996897757    
   3.43750000      0.994865239    
   3.56250000      0.992939651    
   3.68750000      0.991121113    
   3.81250000      0.986414194    
   3.93750000      0.984595656    
   4.06250000      0.984060764    
   4.18750000      0.980423629    
   4.31250000      0.977642298    
   4.43750000      0.976251602    
   4.56250000      0.974433005    
   4.68750000      0.971330762    
   4.81250000      0.969619155    
   4.93750000      0.968656421    
   5.06250000      0.965875030    
   5.18750000      0.962986708    
   5.31250000      0.960954189    
   5.43750000      0.957851946    
   5.56250000      0.954428732    
   5.68750000      0.952717185    
   5.81250000      0.950042784    
   5.93750000      0.946833551    
   6.06250000      0.945014954    
   6.18750000      0.943517327    
   6.31250000      0.935280263    
   6.43750000      0.930573404    
   6.56250000      0.924047947    
   6.68750000      0.913136482    
   6.81250000      0.909606338    
   6.93750000      0.908322632    
   7.06250000      0.907145917    
   7.18750000      0.906290114    
   7.31250000      0.905327320    
   7.43750000      0.903615773    
   7.56250000      0.901904166    
   7.68750000      0.901048362    
   7.81250000      0.899229765    
   7.93750000      0.897625148    
   8.06250000      0.896983325    
   8.18750000      0.895592630    
   8.31250000      0.894095004    
   8.43750000      0.893560112    
   8.56250000      0.892811298    
   8.68750000      0.890885770    
   8.81250000      0.889709055    
   8.93750000      0.888746262    
   9.06250000      0.887890458    
   9.18750000      0.887034655    
   9.31250000      0.884681225    
   9.43750000      0.883718431    
   9.56250000      0.881471992    
   9.68750000      0.879118502    
   9.81250000      0.877513885    
   9.93750000      0.875053465    
   10.0625000      0.871844232    
   10.1875000      0.869918704    
   10.3125000      0.867244303    
   10.4375000      0.865746677    
   10.5625000      0.863928139    
   10.6875000      0.862216532    
   10.8125000      0.860077024    
   10.9375000      0.857616603    
   11.0625000      0.854621291    
   11.1875000      0.851091146    
   11.3125000      0.848416746    
   11.4375000      0.845849395    
   11.5625000      0.844030797    
   11.6875000      0.839751840    
   11.8125000      0.837505341    
   11.9375000      0.835044920    
   12.0625000      0.833226383    
   12.1875000      0.831300795    
   12.3125000      0.828626454    
   12.4375000      0.825203240    
   12.5625000      0.821994007    
   12.6875000      0.819854498    
   12.8125000      0.818356872    
   12.9375000      0.812473238    
   13.0625000      0.809157014    
   13.1875000      0.806375682    
   13.3125000      0.802096725    
   13.4375000      0.796747983    
   13.5625000      0.793538749    
   13.6875000      0.790008545    
   13.8125000      0.785301685    
   13.9375000      0.782092452    
   14.0625000      0.776743710    
   14.1875000      0.774069309    
   14.3125000      0.770646155    
   14.4375000      0.764976442    
   14.5625000      0.762409091    
   14.6875000      0.758344054    
   14.8125000      0.755990565    
   14.9375000      0.753851116    
   15.0625000      0.750962794    
   15.1875000      0.747111678    
   15.3125000      0.745400071    
   15.4375000      0.740586221    
   15.5625000      0.737163007    
   15.6875000      0.735023558    
   15.8125000      0.732670069    
   15.9375000      0.729460835    
   16.0625000      0.726465583    
   16.1875000      0.724326074    
   16.3125000      0.720581949    
   16.4375000      0.718656421    
   16.5625000      0.715233207    
   16.6875000      0.711382091    
   16.8125000      0.708065867    
   16.9375000      0.705391526    
   17.0625000      0.702289283    
   17.1875000      0.698973060    
   17.3125000      0.697368443    
   17.4375000      0.695228934    
   17.5625000      0.692233622    
   17.6875000      0.690094113    
   17.8125000      0.688275576    
   17.9375000      0.685494244    
   18.0625000      0.683354735    
   18.1875000      0.682391942    
   18.3125000      0.679503620    
   18.4375000      0.678540885    
   18.5625000      0.676080465    
   18.6875000      0.674582779    
   18.8125000      0.673406065    
   18.9375000      0.670945644    
   19.0625000      0.668913126    
   19.1875000      0.665917814    
   19.3125000      0.664420187    
   19.4375000      0.662922561    
   19.5625000      0.660676062    
   19.6875000      0.659713328    
   19.8125000      0.658857524    
   19.9375000      0.656825006    
   20.0625000      0.655541301    
   20.1875000      0.653508782    
   20.3125000      0.651369274    
   20.4375000      0.650941372    
   20.5625000      0.650192559    
   20.6875000      0.648160040    
   20.8125000      0.647304237    
   20.9375000      0.645485640    
   21.0625000      0.644201994    
   21.1875000      0.642062485    
   21.3125000      0.641313672    
   21.4375000      0.639281154    
   21.5625000      0.637248635    
   21.6875000      0.635109127    
   21.8125000      0.634467244    
   21.9375000      0.633290529    
   22.0625000      0.632113814    
   22.1875000      0.630723178    
   22.3125000      0.629653394    
   22.4375000      0.627834857    
   22.5625000      0.626444161    
   22.6875000      0.624518633    
   22.8125000      0.622807026    
   22.9375000      0.620453596    
   23.0625000      0.618421078    
   23.1875000      0.616281569    
   23.3125000      0.615211785    
   23.4375000      0.613821149    
   23.5625000      0.612430453    
   23.6875000      0.611467719    
   23.8125000      0.610290945    
   23.9375000      0.607509613    
   24.0625000      0.606653810    
   24.1875000      0.605477095    
   24.3125000      0.604407370    
   24.4375000      0.603337586    
   24.5625000      0.602481842    
   24.6875000      0.602160871    
   24.8125000      0.598630726    
   24.9375000      0.596598208    
   25.0625000      0.594137788    
   25.1875000      0.588361144    
   25.3125000      0.588361144    
   25.4375000      0.515725315    
   25.5625000      0.424582809    
   25.6875000      0.326914847    
   25.8125000      0.326486945    
   25.9375000      0.326272994    
   26.0625000      0.326059043    
   26.1875000      0.325845093    
   26.3125000      0.325524181    
   26.4375000      0.324882329    
   26.5625000      0.323384672    
   26.6875000      0.323063761    
   26.8125000      0.321994007    
   26.9375000      0.321459144    
