 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.999138951    
   2.87500000      0.997632146    
   3.12500000      0.996125281    
   3.37500000      0.990528464    
   3.62500000      0.983962953    
   3.87500000      0.976966977    
   4.12500000      0.968894601    
   4.37500000      0.963297844    
   4.62500000      0.940157115    
   4.87500000      0.935206115    
   5.12500000      0.920891166    
   5.37500000      0.916585922    
   5.62500000      0.912173092    
   5.87500000      0.907114387    
   6.12500000      0.901948094    
   6.37500000      0.897104740    
   6.62500000      0.890431583    
   6.87500000      0.884942412    
   7.12500000      0.875255644    
   7.37500000      0.865999341    
   7.62500000      0.857173622    
   7.87500000      0.849962354    
   8.12500000      0.842643440    
   8.37500000      0.834355831    
   8.62500000      0.825960636    
   8.87500000      0.813690662    
   9.12500000      0.805080175    
   9.37500000      0.795608640    
   9.62500000      0.789043188    
   9.87500000      0.782047153    
   10.1250000      0.777096093    
   10.3750000      0.770100117    
   10.6250000      0.764826179    
   10.8750000      0.759659886    
   11.1250000      0.754385948    
   11.3750000      0.747928083    
   11.6250000      0.742869437    
   11.8750000      0.736734450    
   12.1250000      0.731030047    
   12.3750000      0.725110292    
   12.6250000      0.719728768    
   12.8750000      0.713701427    
   13.1250000      0.707028329    
   13.3750000      0.701754391    
   13.6250000      0.697556794    
   13.8750000      0.691314161    
   14.1250000      0.687654734    
   14.3750000      0.684102893    
   14.6250000      0.679690003    
   14.8750000      0.676783979    
   15.1250000      0.673124552    
   15.3750000      0.669680357    
   15.6250000      0.666236162    
   15.8750000      0.661930919    
   16.1250000      0.659132481    
   16.3750000      0.655580640    
   16.6250000      0.653320432    
   16.8750000      0.649983883    
   17.1250000      0.647077799    
   17.3750000      0.644602299    
   17.6250000      0.642019153    
   17.8750000      0.638252079    
   18.1250000      0.635130763    
   18.3750000      0.631578922    
   18.6250000      0.628134727    
   18.8750000      0.623829484    
   19.1250000      0.617371678    
   19.3750000      0.611451924    
   19.6250000      0.606070399    
