 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000       1.00000000    
   2.87500000      0.999494195    
   3.12500000      0.999190688    
   3.37500000      0.997470915    
   3.62500000      0.994739532    
   3.87500000      0.993424356    
   4.12500000      0.991906941    
   4.37500000      0.990692973    
   4.62500000      0.989377856    
   4.87500000      0.987759233    
   5.12500000      0.985735953    
   5.37500000      0.983712673    
   5.62500000      0.981992900    
   5.87500000      0.980475485    
   6.12500000      0.977845192    
   6.37500000      0.976833582    
   6.62500000      0.973394036    
   6.87500000      0.970561445    
   7.12500000      0.966616094    
   7.37500000      0.963884652    
   7.62500000      0.959635794    
   7.87500000      0.953869522    
   8.12500000      0.950025320    
   8.37500000      0.941122890    
   8.62500000      0.937481046    
   8.87500000      0.933130980    
   9.12500000      0.927364707    
   9.37500000      0.923520505    
   9.62500000      0.916641355    
   9.87500000      0.909256458    
   10.1250000      0.902478516    
   10.3750000      0.896206379    
   10.6250000      0.887304008    
   10.8750000      0.880627215    
   11.1250000      0.876176000    
   11.3750000      0.871320188    
   11.6250000      0.868082941    
   11.8750000      0.856246829    
   12.1250000      0.849873543    
   12.3750000      0.844815373    
   12.6250000      0.808396578    
   12.8750000      0.803034902    
   13.1250000      0.794638336    
   13.3750000      0.786342919    
   13.6250000      0.777137101    
   13.8750000      0.772483587    
   14.1250000      0.758826494    
   14.3750000      0.749317169    
   14.6250000      0.562974215    
   14.8750000      0.558725357    
   15.1250000      0.543854296    
   15.3750000      0.533131003    
   15.6250000      0.524734437    
   15.8750000      0.519777417    
   16.1250000      0.510369241    
   16.3750000      0.405563980    
   16.6250000      0.399190694    
   16.8750000      0.396155804    
   17.1250000      0.394537181    
   17.3750000      0.391299963    
   17.6250000      0.387455732    
   17.8750000      0.383611530    
   18.1250000      0.379059166    
   18.3750000      0.374607980    
   18.6250000      0.370460302    
   18.8750000      0.366616070    
   19.1250000      0.362367213    
   19.3750000      0.360849768    
   19.6250000      0.356499761    
