 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.999898911    
   2.87500000      0.999292314    
   3.12500000      0.998988986    
   3.37500000      0.996966958    
   3.62500000      0.995652616    
   3.87500000      0.994641602    
   4.12500000      0.993327260    
   4.37500000      0.991507411    
   4.62500000      0.989889801    
   4.87500000      0.989182055    
   5.12500000      0.988069952    
   5.37500000      0.985845745    
   5.62500000      0.984531403    
   5.87500000      0.982003868    
   6.12500000      0.979779601    
   6.37500000      0.977555335    
   6.62500000      0.973612368    
   6.87500000      0.969264984    
   7.12500000      0.966231942    
   7.37500000      0.962794483    
   7.62500000      0.958952606    
   7.87500000      0.953897476    
   8.12500000      0.950257838    
   8.37500000      0.940855324    
   8.62500000      0.937013447    
   8.87500000      0.929531872    
   9.12500000      0.924881220    
   9.37500000      0.920533836    
   9.62500000      0.915377617    
   9.87500000      0.907491684    
   10.1250000      0.901223361    
   10.3750000      0.895460546    
   10.6250000      0.889293313    
   10.8750000      0.884137094    
   11.1250000      0.879688621    
   11.3750000      0.875138998    
   11.6250000      0.870993853    
   11.8750000      0.861186922    
   12.1250000      0.854008675    
   12.3750000      0.849459112    
   12.6250000      0.813871205    
   12.8750000      0.809220493    
   13.1250000      0.799919128    
   13.3750000      0.791729867    
   13.6250000      0.783237278    
   13.8750000      0.778081059    
   14.1250000      0.766555429    
   14.3750000      0.755535364    
   14.6250000      0.567586720    
   14.8750000      0.563744843    
   15.1250000      0.550197124    
   15.3750000      0.539682567    
   15.6250000      0.531088889    
   15.8750000      0.526842594    
   16.1250000      0.518248916    
   16.3750000      0.403397024    
   16.6250000      0.398038626    
   16.8750000      0.394095629    
   17.1250000      0.392073601    
   17.3750000      0.388636142    
   17.6250000      0.385198653    
   17.8750000      0.381053478    
   18.1250000      0.376605004    
   18.3750000      0.371347696    
   18.6250000      0.367101401    
   18.8750000      0.362754017    
   19.1250000      0.359518766    
   19.3750000      0.358608842    
   19.6250000      0.355373561    
