 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.999433994    
   2.87500000      0.997962415    
   3.12500000      0.997056842    
   3.37500000      0.991396904    
   3.62500000      0.983020127    
   3.87500000      0.976114988    
   4.12500000      0.968530655    
   4.37500000      0.962644339    
   4.62500000      0.955173194    
   4.87500000      0.947022855    
   5.12500000      0.939212143    
   5.37500000      0.931740999    
   5.62500000      0.921666265    
   5.87500000      0.913855553    
   6.12500000      0.903101623    
   6.37500000      0.894498527    
   6.62500000      0.882273018    
   6.87500000      0.868236363    
   7.12500000      0.857256055    
   7.37500000      0.844917357    
   7.62500000      0.829635501    
   7.87500000      0.822956741    
   8.12500000      0.809146464    
   8.37500000      0.800316930    
   8.62500000      0.791827023    
   8.87500000      0.778922319    
   9.12500000      0.763866901    
   9.37500000      0.741000652    
   9.62500000      0.721417248    
   9.87500000       0.00000000    
   10.1250000       0.00000000    
   10.3750000       0.00000000    
   10.6250000       0.00000000    
   10.8750000       0.00000000    
   11.1250000       0.00000000    
   11.3750000       0.00000000    
   11.6250000       0.00000000    
   11.8750000       0.00000000    
   12.1250000       0.00000000    
   12.3750000       0.00000000    
   12.6250000       0.00000000    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
